sample_ID	campaign	station	event	date_time	latitude	longitude	depth	sample_method	biome	ocean_region	biogeographic_province	size_fraction	depth_nominal	temperature	SST	SST_grad	O2	NO3	NO2	NO3NO2	PO43	SiOH4	Fe	NH4	ChlA	ChlA_fluo	fluorescence	PAR	NPP_C_mean8days	POC	PIC	SSD	bathymetry	coast_distance	Okubo_Weiss	Lyapunov	residence_time	age	salinity	angular_scattering_coef	optical_backscattering_coef	particle_backscattering_coef	optical_attenuation_coef	particle_optical_attenuation_coef	depth_mix_layer	depth_ChlA_max	depth_max_Brunt	depth_max_O2	depth_min_O2	depth_nitracline
TARA_N000000469	TARA_20100624Z	TARA_058	PUMP	2010-06-29T04:12	-17.5869	42.1893	SRF	SEQ-(100L-or-15min)_W0.8-5	Coastal Biome	IO	Eastern Africa Coastal Province	0.8-5	5	26.3401	26.7090385	0.57095	191.5	0.013670703	0.00756411	0	0	2.46	0.001000181	0.011099947	0.01	15.6699	NA	37.513466	NA	52.2429885864258	0.000125465405290015	665	-2115	182.7374	0.557628	0.197237	0	49	NA	0.000382	NA	NA	0.0188	0.051976	17	69	78.75	34.25	824.75	93
TARA_N000000483	TARA_20100624Z	TARA_062	PUMP	2010-07-03T08:09	-22.3368	40.3412	SRF	SEQ-(100L-or-15min)_W0.8-5	Coastal Biome	IO	Eastern Africa Coastal Province	0.8-5	5	25.0802	25.17734725	0.96693	199.9	0.033863571	0.017541743	NA	NA	NA	0.000909214	0.012337432	0.02	20.3338	1.56105	33.423996	327.708	53.0237274169922	0.000111145011032932	648	-1548	10.6591	-0.113784	0.04422	8.944444	120	35.325	0.00036	-0.000149	0.000834	0.0139	0.045263	67	74	76	407	934	92
TARA_N000000485	TARA_20100624Z	TARA_062	PUMP	2010-07-03T08:09	-22.3368	40.3412	SRF	SEQ-(500mL-or-15min)_W5-20	Coastal Biome	IO	Eastern Africa Coastal Province	5-20	5	25.0802	25.17734725	0.96693	199.9	0.033863571	0.017541743	NA	NA	NA	0.000909214	0.012337432	0.02	20.3338	1.56105	33.423996	327.708	53.0237274169922	0.000111145011032932	648	-1548	10.6591	-0.113784	0.04422	8.944444	120	35.325	0.00036	-0.000149	0.000834	0.0139	0.045263	67	74	76	407	934	92
TARA_N000000487	TARA_20100624Z	TARA_062	NET	2010-07-03T08:34	-22.3369	40.0193	SRF	SEQ-(500mL-or-15min)_N20-180	Coastal Biome	IO	Eastern Africa Coastal Province	20-180	5	25.0802	24.68584375	0.96693	199.9	0.033863571	0.017541743	NA	NA	NA	0.000909214	0.012337432	0.02	20.3338	1.56105	33.60146	327.708	48.0822525024414	0.000122671277495101	648	-1548	10.6591	-0.113784	0.04422	8.944444	120	35.325	0.00036	-0.000149	0.000834	0.0139	0.045263	67	74	76	407	934	92
TARA_N000000491	TARA_20100624Z	TARA_062	NET	2010-07-03T08:02	-22.3369	40.3412	SRF	SEQ-(500mL-or-15min)_N180-2000	Coastal Biome	IO	Eastern Africa Coastal Province	180-2000	5	25.0802	25.17734725	0.96693	199.9	0.033863571	0.017541743	NA	NA	NA	0.000909214	0.012337432	0.02	20.3338	1.56105	33.423996	327.708	53.0237274169922	0.000111145011032932	648	-1548	10.6591	-0.113784	0.04422	8.944444	120	35.325	0.00036	-0.000149	0.000834	0.0139	0.045263	67	74	76	407	934	92
TARA_N000000522	TARA_20100624Z	TARA_064	PUMP	2010-07-07T04:48	-29.5019	37.9889	SRF	SEQ-(100L-or-15min)_W0.8-5	Coastal Biome	IO	Eastern Africa Coastal Province	0.8-5	5	22.1656	22.07094475	0.24112	210	0.074760764	0.030657471	0	0.08	1.77	0.00080341	0.010198253	0.05	21.9223	1.13587	27.096249	489.85775	68.1662216186523	0.000153173044964205	620	-4938	550.5186	0.676958	0.119044	0	120	35.335	0.000439	-0.000069	0.001378	NA	NA	71	52	160.833	608.5	562	424.333
TARA_N000000524	TARA_20100624Z	TARA_064	PUMP	2010-07-08T06:21	-29.5333	37.9117	DCM	SEQ-(100L-or-15min)_W0.8-5	Coastal Biome	IO	Eastern Africa Coastal Province	0.8-5	65	22.2503	22.03903825	0.40129	207.4	0.074760764	0.030657471	0	0.08	1.75	0.00080341	0.010198253	0.08	22.7117	1.2096	26.070198	492.7005	64.7903442382812	0.000150197411130648	620	-4954	546.589	0.676958	0.119044	0	120	35.336	0.000441	-0.000066	0.001396	0.026	0.060969	71	52	160.833	608.5	562	424.333
TARA_N000000526	TARA_20100624Z	TARA_064	NET	2010-07-07T07:53	-29.4985	37.9926	SRF	SEQ-(500mL-or-15min)_N20-180	Coastal Biome	IO	Eastern Africa Coastal Province	20-180	5	22.2221	22.08026575	0.33098	209.6	0.074760764	0.030657471	0	0.08	1.77	0.00080341	0.010198253	0.03	23.691	1.13587	27.096249	489.85775	68.1662216186523	0.000153173044964205	620	-4940	546.64	0.676958	0.119044	0	120	35.322	0.000445	-0.000063	0.001419	0.0355	0.070471	71	52	160.833	608.5	562	424.333
TARA_N000000532	TARA_20100624Z	TARA_064	PUMP	2010-07-08T06:21	-29.5333	37.9117	DCM	SEQ-(500mL-or-15min)_W5-20	Coastal Biome	IO	Eastern Africa Coastal Province	5-20	65	22.2503	22.03903825	0.40129	207.4	0.074760764	0.030657471	0	0.08	1.75	0.00080341	0.010198253	0.08	22.7117	1.2096	26.070198	492.7005	64.7903442382812	0.000150197411130648	620	-4954	546.589	0.676958	0.119044	0	120	35.336	0.000441	-0.000066	0.001396	0.026	0.060969	71	52	160.833	608.5	562	424.333
TARA_N000000535	TARA_20100624Z	TARA_064	NET	2010-07-07T08:15	-29.4964	37.9974	DCM	SEQ-(500mL-or-15min)_N20-180	Coastal Biome	IO	Eastern Africa Coastal Province	20-180	60	22.2213	22.090572625	0.33098	208.4	0.074760764	0.030657471	0	0.08	1.75	0.00080341	0.010198253	0.08	23.691	1.2096	27.096249	492.7005	68.1662216186523	0.000153173044964205	620	-4940	546.64	0.676958	0.119044	0	120	35.33	0.00044	-0.000068	0.001385	0.0268	0.061714	71	52	160.833	608.5	562	424.333
